Designator,Mid X,Mid Y,Rotation,Layer
C1,321.55,-57.85,135.0,bottom
C10,315.7,-35.9,90.0,bottom
C101,-5.55,-3.95,180.0,bottom
C102,13.45,-3.95,180.0,bottom
C103,32.45,-3.95,180.0,bottom
C104,51.45,-3.95,180.0,bottom
C105,70.45,-3.95,180.0,bottom
C106,89.45,-3.95,180.0,bottom
C107,108.45,-3.95,180.0,bottom
C108,127.45,-3.95,180.0,bottom
C109,146.45,-3.95,180.0,bottom
C11,330.15,-44.15,0.0,bottom
C110,165.45,-3.95,180.0,bottom
C1100,222.45,24.55,180.0,bottom
C1101,241.45,24.55,180.0,bottom
C1102,260.45,24.55,180.0,bottom
C1103,284.2,24.55,180.0,bottom
C1104,303.2,24.55,180.0,bottom
C1105,322.2,24.55,180.0,bottom
C111,184.45,-3.95,180.0,bottom
C112,203.425,-3.95,180.0,bottom
C113,222.45,-3.95,180.0,bottom
C114,250.95,-3.95,180.0,bottom
C115,-0.8,-22.95,180.0,bottom
C116,22.95,-22.95,180.0,bottom
C117,41.95,-22.95,180.0,bottom
C118,60.95,-22.95,180.0,bottom
C119,79.95,-22.95,180.0,bottom
C12,329.425,-40.55,0.0,bottom
C120,98.95,-22.95,180.0,bottom
C121,117.95,-22.95,180.0,bottom
C122,136.95,-22.95,180.0,bottom
C123,155.95,-22.95,180.0,bottom
C124,174.95,-22.95,180.0,bottom
C125,193.95,-22.95,180.0,bottom
C126,212.95,-22.95,180.0,bottom
C127,231.95,-22.95,180.0,bottom
C128,258.05,-32.45,180.0,bottom
C129,1.55,-41.95,180.0,bottom
C13,315.0,-44.7,180.0,bottom
C130,27.75,-41.95,180.0,bottom
C131,46.4,-41.95,180.0,bottom
C132,65.4,-41.95,180.0,bottom
C133,84.4,-41.95,180.0,bottom
C134,103.4,-41.95,180.0,bottom
C135,122.4,-41.95,180.0,bottom
C136,141.4,-41.95,180.0,bottom
C137,160.4,-41.95,180.0,bottom
C138,179.4,-41.95,180.0,bottom
C139,198.4,-41.95,180.0,bottom
C14,327.55,-29.425,180.0,bottom
C140,217.4,-41.95,180.0,bottom
C141,236.4,-41.95,180.0,bottom
C142,-3.2,-60.95,180.0,bottom
C143,18.2,-60.95,180.0,bottom
C144,37.2,-60.95,180.0,bottom
C145,56.2,-60.95,180.0,bottom
C146,75.2,-60.95,180.0,bottom
C147,94.2,-60.95,180.0,bottom
C148,113.2,-60.95,180.0,bottom
C149,132.2,-60.95,180.0,bottom
C15,169.8,10.3,0.0,bottom
C150,151.2,-60.95,180.0,bottom
C151,170.2,-60.95,180.0,bottom
C152,189.2,-60.95,180.0,bottom
C153,208.2,-60.95,180.0,bottom
C154,243.8,-60.95,180.0,bottom
C155,-3.2,-79.95,180.0,bottom
C156,20.55,-79.95,180.0,bottom
C157,44.3,-79.95,180.0,bottom
C158,115.55,-79.95,180.0,bottom
C159,186.8,-79.95,180.0,bottom
C16,315.675,-39.1,270.0,bottom
C160,210.55,-79.95,180.0,bottom
C161,234.3,-79.95,180.0,bottom
C162,258.05,-79.95,180.0,bottom
C163,284.2,-3.95,180.0,bottom
C164,303.2,-3.95,180.0,bottom
C165,322.2,-3.95,180.0,bottom
C166,284.2,-22.95,180.0,bottom
C167,303.2,-22.95,180.0,bottom
C168,322.2,-22.95,180.0,bottom
C169,303.2,-60.95,180.0,bottom
C17,328.3,-57.225,270.0,bottom
C170,284.2,-79.95,180.0,bottom
C171,303.2,-79.95,180.0,bottom
C172,322.2,-79.95,180.0,bottom
C190,-5.55,24.55,180.0,bottom
C191,32.45,24.55,180.0,bottom
C192,51.425,24.55,180.0,bottom
C193,70.45,24.55,180.0,bottom
C194,89.45,24.55,180.0,bottom
C195,117.925,24.55,180.0,bottom
C196,136.95,24.55,180.0,bottom
C197,155.95,24.55,180.0,bottom
C198,174.925,24.55,180.0,bottom
C199,203.45,24.55,180.0,bottom
C2,326.85,-52.625,315.0,bottom
C3,320.975,-35.525,90.0,bottom
C4,324.55,-35.525,90.0,bottom
C5,321.075,-49.575,270.0,bottom
C6,319.4,-35.525,90.0,bottom
C7,317.2,-39.1,90.0,bottom
C8,322.625,-49.575,270.0,bottom
C9,323.05,-35.525,90.0,bottom
D01,195.0,38.3,0.0,top
D02,17.4,33.8,90.0,bottom
D03,86.0,-81.7,180.0,bottom
D1,8.3,0.65,90.0,bottom
D10,179.3,0.65,90.0,bottom
D100,236.25,29.15,90.0,bottom
D101,255.3,29.15,90.0,bottom
D102,274.25,29.15,90.0,bottom
D103,298.05,29.2,90.0,bottom
D104,317.05,29.1375,90.0,bottom
D105,336.0,29.0875,90.0,bottom
D11,198.3,0.65,90.0,bottom
D12,217.3,0.65,90.0,bottom
D13,236.25,0.65,90.0,bottom
D14,264.15,0.65,90.0,bottom
D15,13.05,-18.3875,90.0,bottom
D16,36.75,-18.3875,90.0,bottom
D17,55.75,-18.3875,90.0,bottom
D18,74.8,-18.3875,90.0,bottom
D19,93.75,-18.3875,90.0,bottom
D2,27.3,0.65,90.0,bottom
D20,112.75,-18.3875,90.0,bottom
D21,131.75,-18.3875,90.0,bottom
D22,150.8,-18.3875,90.0,bottom
D23,169.75,-18.3875,90.0,bottom
D24,188.8,-18.3875,90.0,bottom
