Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C24, C25, C26, C27, C28, C29, C3, C4, C5, C6, C7, C8, C9",0603,26,100nF,
C21,0603,1,1uF,
"C22, C23",0603,2,22pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D2, D3, D4, D5, D6, D7, D8, D9",0603,17,D_Small,
J1,MC096VX and SSD1306 Display module 0.96”,1,Display 1,
J2,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,AVR-ISP-6,
J3,MC096VX and SSD1306 Display module 0.96”,1,Display 2,
"J4, J5, J6, J7","POGO Magnetic 4 Pin 2,2mm Horizontal",4,Conn_01x04,
"R1, R3, R4, R5, R6",0603,5,10k,
R2,0603,1,330,
"RV1, RV2",Potentiometer_Bourns_PTA6043_Single_Slide,2,PTA6043-2010CIB502,
"U1, U10, U11, U12, U13, U14, U17, U2, U21, U22, U3, U4, U5, U6, U7, U9",Multi Hotswap with RGB 1U,16,Multi_Hotswap_with_RGB,
"U15, U8",Multi Hotswap with RGB 2U 90deg,2,Multi_Hotswap_with_RGB,
U16,Multi Hotswap with RGB 2U,1,Multi_Hotswap_with_RGB,
U18,TQFP-32_7x7mm_P0.8mm,1,ATmega328PB-A,
U19,SN74LVC2G17DCKR,1,~,
U20,Alps EC12 with Neopixel,1,~,
Y1,Crystal_SMD_HC49-SD,1,ABLS-16.000MHZ-D-3-Y-T,
