Designator,Mid X,Mid Y,Rotation,Layer
C1,13.5,-23.0,180.0,bottom
C10,32.5,-60.9,180.0,bottom
C11,51.5,-60.9,180.0,bottom
C12,13.5,-79.9,180.0,bottom
C13,32.5,-79.9,180.0,bottom
C14,51.5,-79.9,180.0,bottom
C15,70.475,-89.4,180.0,bottom
C16,23.0,-98.9,180.0,bottom
C17,51.5,-98.9,180.0,bottom
C18,68.1,-2.8,270.0,bottom
C19,70.3,-2.8,270.0,bottom
C2,32.5,-22.9,180.0,bottom
C20,68.1,11.0,90.0,bottom
C21,60.6,6.1,0.0,bottom
C22,70.5,12.3,135.0,bottom
C23,76.0,6.9,315.0,bottom
C24,94.7,3.4,270.0,bottom
C25,94.7,6.4,90.0,bottom
C26,88.6,4.9,180.0,bottom
C27,103.3,7.2,0.0,bottom
C28,89.5,-98.9,180.0,bottom
C29,108.5,-98.9,180.0,bottom
C3,51.5,-22.9,180.0,bottom
C4,70.5,-22.9,180.0,bottom
C5,13.5,-41.9,180.0,bottom
C6,32.5,-41.9,180.0,bottom
C7,51.5,-41.9,180.0,bottom
C8,70.5,-51.4,180.0,bottom
C9,13.5,-60.9,180.0,bottom
D1,27.3,-18.5,90.0,bottom
D10,46.3,-56.3875,90.0,bottom
D11,65.3,-56.3875,90.0,bottom
D12,27.3,-75.4,90.0,bottom
D13,46.3,-75.4,90.0,bottom
D14,65.3,-75.4,90.0,bottom
D15,84.3,-84.8,90.0,bottom
D16,36.8,-94.4,90.0,bottom
D17,65.3,-94.3875,90.0,bottom
D2,46.3,-18.4,90.0,bottom
D3,65.3,-18.3,90.0,bottom
D4,84.3,-18.3,90.0,bottom
D5,27.3,-37.4,90.0,bottom
D6,46.3,-37.3875,90.0,bottom
D7,65.3,-37.4875,90.0,bottom
D8,84.3,-46.9875,90.0,bottom
D9,27.3,-56.4,90.0,bottom
J1,66.5,4.6,0.0,top
J3,28.5,4.6,0.0,top
J4,7.15,-42.0,180.0,bottom
J5,130.95,-42.0,0.0,bottom
J6,69.0,20.25,90.0,bottom
J7,69.0,-103.95,270.0,bottom
R1,60.65,4.5,0.0,bottom
R2,82.1,-89.4,0.0,bottom
R3,99.3,6.5,90.0,bottom
R4,99.3,3.125,270.0,bottom
R5,94.0,8.7,0.0,bottom
R6,94.0,1.1,0.0,bottom
RV1,93.25,-84.0,90.0,top
RV2,112.25,-84.0,90.0,top
U1,19.0,-19.0,0.0,top
U10,38.0,-57.0,0.0,top
U11,57.0,-57.0,0.0,top
U12,19.0,-76.0,0.0,top
U13,38.0,-76.0,0.0,top
U14,57.0,-76.0,0.0,top
U15,76.0,-85.5,0.0,top
U16,28.5,-95.0,0.0,top
U17,57.0,-95.0,0.0,top
U18,68.5,4.1,270.0,bottom
U19,92.1,4.9,270.0,bottom
U2,38.0,-19.0,0.0,top
U20,104.5,4.8,0.0,top
U21,95.0,-95.0,0.0,top
U22,114.0,-95.0,0.0,top
U3,57.0,-19.0,0.0,top
U4,76.0,-19.0,0.0,top
U5,19.0,-38.0,0.0,top
U6,38.0,-38.0,0.0,top
U7,57.0,-38.0,0.0,top
U8,76.0,-47.5,0.0,top
U9,19.0,-57.0,0.0,top
Y1,76.5,11.2,135.0,bottom
