Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,8pF,
"C10, C101, C102, C103, C104, C105, C106, C107, C108, C109, C11, C110, C1100, C1101, C1102, C1103, C1104, C1105, C111, C112, C113, C114, C115, C116, C117, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C13, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C14, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C17, C170, C171, C172, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C4, C5, C7, C8, C9",0603,99,100nF,
"C15, C16, C3, C6",0603,4,1u,
"D01, D02, D03",CD214A-B240LR,3,CD214A-B240LR,
"D1, D10, D100, D101, D102, D103, D104, D105, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D8, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",0603,88,D_Small,
DL1,0603,1,PWR_5V,
DL2,0603,1,PWR_3V3,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_3.2mm_M3_DIN965_Pad,8,MountingHole,
IC1,SOP65P640X120-14N,1,LSF0204QPWRQ1,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J2,PinHeader_1x03_P2.54mm_Vertical,1,DEBUG,
"J3, J4, J5, J6","POGO Magnetic 4 Pin 2,2mm Horizontal",4,Conn_01x04,
J7,Harwin_M20-89005xx_1x05_P2.54mm_Horizontal,1,M20-8900505,
"J8, J9","POGO Magnetic 2 Pin 2,8mm Horizontal",2,Conn_01x02,
"JP1, JP3",SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm,2,SolderJumper_2_Bridged,
"JP2, JP4",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_2_Open,
"R1, R12, R15, R21, R3",0603,5,1k,
"R10, R11",0603,2,R,
"R13, R16, R17, R18, R19, R20",0603,6,2k2,
R14,0603,1,330,
"R2, R8, R9",0603,3,10k,
"R4, R5",0603,2,27.4,
"R6, R7",0603,2,5k1,
"S1, S2",SJ235954BSMTTR,2,SJ2-35954B-SMT-TR,
"STAB14, STAB54",Stabilizer_Cherry_MX_2.00u,2,~,
STAB58,Stabilizer_Cherry_MX_6.25u,1,~,
SW1,PTS636SP50SMTRLFS,1,BOOT,
SW2,PTS636SP50SMTRLFS,1,RESET,
"U1, U10, U100, U101, U102, U103, U104, U105, U11, U12, U13, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U43, U44, U45, U46, U47, U48, U49, U5, U50, U51, U52, U53, U6, U63, U64, U65, U66, U67, U68, U69, U7, U70, U71, U72, U8, U9, U90, U91, U92, U93, U94, U95, U96, U97, U98, U99",Multi Hotswap with RGB 1U,74,Multi_Hotswap_with_RGB,
U14,Multi Hotswap with RGB 2U,1,Multi_Hotswap_with_RGB,
U15,"Multi Hotswap with RGB 1,5U",1,Multi_Hotswap_with_RGB,
U201,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U202,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U203,SOT-23-5,1,AP2112K-3.3,
U28,Multi Hotswap with RGB ISO Enter,1,Multi_Hotswap_with_RGB,
U29,"Multi Hotswap with RGB 1,75U",1,Multi_Hotswap_with_RGB,
"U42, U55, U56, U57, U59, U60, U61, U62","Multi Hotswap with RGB 1,25U",8,Multi_Hotswap_with_RGB,
U54,"Multi Hotswap with RGB 2,75U",1,Multi_Hotswap_with_RGB,
U58,"Multi Hotswap with RGB 6,25U",1,Multi_Hotswap_with_RGB,
"U73, U74",SOT-23-6,2,SRV05-4,
Y1,NX3225SA12MHZSTDCSR3,1, NX3225SA-12.000000MHZ,
